parameter,value,log10_value
ksd,0.00013373055596193272,-3.8737693498847325
kfsd,5.804829725399681e-05,-4.236210515013074
krev,3.27150370571063e-06,-5.485252583429575
kf_rep,9.12863325447586e-07,-6.039594240480153
kRz,0.0019792676401223495,-2.703495475743482
kfld,0.017678081294317544,-1.7525648732883987
klk,5.730298876785674e-07,-6.241822725824284
basal_frac,0.15844081304350027,-0.8001329376676454
k_txn_Fig2D,0.020270662362366583,-1.6931320601071396
k_txn_Fig6C,0.037624504081672824,-1.4245292156774985
k_txn_Fig4H,0.006224064001202376,-2.2059259502044024
